FECHA,REGION,PROVINCIA,CONTAGIADOS,FALLECIDOS
2/27/2020,COSTA,Guayas,1,
3/13/2020,COSTA,Guayas,7,1
3/13/2020,COSTA,Los R­os,11,
3/14/2020,COSTA,Guayas,11,2
3/14/2020,COSTA,Los R­os,11,
3/15/2020,COSTA,Guayas,19,2
3/15/2020,COSTA,Los R­os,10,
3/16/2020,COSTA,GUAYAS,37,2
3/16/2020,COSTA,LOS RÖOS,10
3/16/2020,COSTA,MANABÖ,1
3/17/2020,COSTA,GUAYAS,81,2
3/17/2020,COSTA,Los RÖOS,10,
3/17/2020,COSTA,MANABÖ,1,
3/17/2020,COSTA,SANTA ELENA,3,
3/17/2020,COSTA,El ORO,1,
3/18/2020,COSTA,GUYAS,128,3
3/18/2020,COSTA,EL ORO,1,
3/18/2020,COSTA,MANABÖ,8,
3/18/2020,COSTA,LOS RÖOS ,10,
3/19/2020,COSTA,GUAYAS ,187,4
3/19/2020,COSTA,LOS RÖOS ,16,
3/19/2020,COSTA,MANABÖ,8,
3/19/2020,COSTA,EL ORO,1,
3/20/2020,COSTA,GUAYAS,318,5
3/20/2020,COSTA,Sta.Elena,1,
3/20/2020,COSTA,MANABÖ,9,1,
3/20/2020,COSTA,LOS RÖOS,19,
3/21/2020,COSTA,GUAYAS,397,5
3/21/2020,COSTA,STA.ELENA,1,
3/21/2020,COSTA,MANABÖ,9,1,
3/21/2020,COSTA,LOS RÖOS,22,
3/21/2020,COSTA,EL ORO,2,1,
3/21/2020,COSTA,ESMERALDA,2,
3/22/2020,COSTA,GUYAS,607,10,
3/22/2020,COSTA,STA.ELENA,2,
3/22/2020,COSTA,MANABÖ,25,1
3/22/2020,COSTA,LOS RÖOS ,25,2,
3/22/2020,COSTA,EL ORO,6,1,
3/22/2020,COSTA,ESMERALDA,2,
3/23/2020,COSTA,GUAYAS,769,14
3/23/2020,COSTA,STA. ELENA,4,
3/23/2020,COSTA,MANABÖ,27,1
3/23/2020,COSTA,LOS RÖOS,28,2
3/23/2020,COSTA,EL ORO,9,1
3/23/2020,COSTA,ESMERALDA,3,
3/24/2020,COSTA,GUAYAS,826,19,
3/24/2020,COSTA,STA. ELENA,6,
3/24/2020,COSTA,MANABÖ,32,2,
3/24/2020,COSTA,LOS RÖOS,37,3,
3/24/2020,COSTA,EL ORO,14,3,
3/24/2020,COSTA,ESMERALDA,3,
3/25/2020,COSTA,GUAYAS,885,21,
3/25/2020,COSTA,STA. ELENA,6,
3/25/2020,COSTA,MANABÖ,38,2
3/25/2020,COSTA,LOS RÖOS,40,3,
3/25/2020,COSTA,ESMERALDAS,4,
3/25/2020,COSTA,EL ORO,17,4
