;;;;;;;;;;;;;
REGION;COSTA;;;SIERRA;;;ORIENTE;;;GALµPAGOS;;;
;;;;;;;;;;;;;
FECHA;CUIDAD;CONTAGIADOS;FALLECIDOS;CUIDAD;CONTAGIADOS;FALLECIDOS;CUIDAD;CONTAGIADOS;FALLECIDOS;CONTAGIADOS;FALLECIDOS;;
27-29 FEB;Guayas;1;;;;;;;;;;;
viernes, 13 de marzo de 2020;Guayas;7;1;Pichincha;4;;Sucumb¡os;1;;;;;
;Los R¡os;11;;;;;;;;;;;
s bado, 14 de marzo de 2020;Guayas;11;2;Pichincha;4;;Sucumb¡os;1;;;;;
;Los R¡os;11;;Azuay;1;;;;;;;;
domingo, 15 de marzo de 2020;Guayas;19;2;Pichincha;6;;Sucumb¡os;1;;;;;
;Los R¡os;10;;Azuay;1;;;;;;;;
lunes, 16 de marzo de 2020;Guayas;37;2;Pichincha;8;;Sucumb¡os;1;;;;;
;Los R¡os;10;;Azuay;1;;;;;;;;
;Manab¡;1;;;;;;;;;;;
martes, 17 de marzo de 2020;Guayas;81;2;Pichincha;8;;Sucumb¡os;1;;;;;
;Los R¡os;10;;Azuay;5;;Morona Santiago;1;;;;;
;Manab¡;1;;;;;;;;;;;
;Sta. Elena;3;;;;;;;;;;;
;El Oro;1;;;;;;;;;;;
mi‚rcoles, 18 de marzo de 2020;Guayas;128;3;Pichincha;12;;Sucumb¡os;1;;;;;
;El Oro;1;;Azuay;5;;Morona Santiago;1;;;;;
;Manab¡;8;;Bolivar;2;;;;;;;;
;Los R¡os;10;;;;;;;;;;;
jueves, 19 de marzo de 2020;Guayas;187;4;Pichincha;16;;Sucumbios;2;;;;;
;Los R¡os;16;;Azuay;14;;Morona Santiago;3;;;;;
;Manab¡;8;;Bolivar;2;;;;;;;;
;El Oro;1;;Chimborazo;2;;;;;;;;
;;;;Ca¤ar;3;;;;;;;;
;;;;Loja;4;;;;;;;;
;;;;Sto. Domingo de los Tsachilas;1;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;Imbabura;1;;;;;;;;
viernes, 20 de marzo de 2020;Guayas;318;5;Pichincha;35;;Sucumbios;3;;;;;
;Sta. Elena;1;;Azuay;18;;Morona Santiago;3;;;;;
;Manab¡;9;1;Bolivar;4;;;;;;;;
;El Oro;2;1;Chimborazo;3;;;;;;;;
;Los R¡os;19;;Ca¤ar;3;;;;;;;;
;;;;Loja;5;;;;;;;;
;;;;Sto. Domingo de los Tsachilas;1;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;Imbabura;2;;;;;;;;
s bado, 21 de marzo de 2020;Guayas;397;5;Pichincha;50;;Sucumbios;3;;;;;
;Sta. Elena;1;;Azuay;19;;Morona Santiago;3;;;;;
;Manab¡;9;1;Bolivar;5;;;;;;;;
;Los R¡os;22;;Chimborazo;4;;;;;;;;
;El Oro;2;1;Ca¤ar;3;;;;;;;;
;Esmeraldas;2;;Loja;5;;;;;;;;
;;;;Sto. Domingo de los Tsachilas;4;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;Imbabura;3;;;;;;;;
domingo, 22 de marzo de 2020;Guayas;607;10;Pichincha;60;;Sucumbios;6;;;;;
;Sta. Elena;2;;Azuay;19;;Morona Santiago;3;;;;;
;Manab¡;25;1;Bolivar;8;;;;;;;;
;Los R¡os;25;2;Chimborazo;9;;;;;;;;
;El Oro;6;1;Ca¤ar;4;;;;;;;;
;Esmeraldas;2;;Loja;5;;;;;;;;
;;;;Sto. Domingo de los Tsachilas;4;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;Imbabura;4;;;;;;;;
lunes, 23 de marzo de 2020;Guayas;769;14;Pichincha;65;;Sucumbios;6;;;;;
;Sta. Elena;4;;Azuay;23;;Morona Santiago;6;;;;;
;Manab¡;27;1;Bolivar;9;;;;;;;;
;Los R¡os;28;2;Chimborazo;9;;;;;;;;
;El Oro;9;1;Ca¤ar;5;;;;;;;;
;Esmeraldas;3;;Loja;5;;;;;;;;
;;;;Sto. Domingo de los Tsachilas;7;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;Imbabura;4;;;;;;;;
;;;;Cotopaxi;1;;;;;;;;
;;;;Tungurahua;1;;;;;;;;
martes, 24 de marzo de 2020;Guayas;826;19;Pichincha;72;;Sucumbios;6;;4;;;
;Sta. Elena;6;;Azuay;28;;Morona Santiago;6;;;;;
;Manab¡;32;2;Bolivar;9;;;;;;;;
;Los R¡os;37;3;Chimborazo;11;;;;;;;;
;El Oro;14;3;Ca¤ar;7;;;;;;;;
;Esmeraldas;3;;Loja;7;;;;;;;;
;;;;Sto. Domingo de los Tsachilas;7;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;Imbabura;4;;;;;;;;
;;;;Cotopaxi;1;;;;;;;;
;;;;Tungurahua;2;;;;;;;;
mi‚rcoles, 25 de marzo de 2020;Guayas;885;21;Pichincha;108;;Sucumbios;6;;4;;;
;Sta. Elena;6;;Azuay;31;;Morona Santiago;7;;;;;
;Manab¡;38;2;Bolivar;11;;Pastaza;1;;;;;
;Los R¡os;40;3;Chimborazo;11;;;;;;;;
;El Oro;17;3;Ca¤ar;12;;;;;;;;
;Esmeraldas;4;;Loja;8;;;;;;;;
;;;;Sto. Domingo de los Tsachilas;7;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;Imbabura;8;;;;;;;;
;;;;Cotopaxi;2;;;;;;;;
;;;;Tungurahua;3;;;;;;;;
;;;;Carchi;2;;;;;;;;
